2026-01-13T12:00:00 | 100 | UserA | 50 | Film1 | 5
2026-01-13T12:01:00 | 101 | UserB | 50 | Film1 | 5
2026-01-13T12:02:00 | 102 | UserC | 50 | Film1 | 5
2026-01-13T12:03:00 | 103 | UserD | 51 | Film2 | 4
2026-01-13T12:04:00 | 100 | UserA | 51 | Film2 | 5
2026-01-13T12:05:00 | 104 | UserE | 52 | Film3 | 5
2026-01-13T12:06:00 | 101 | UserB | 52 | Film3 | 4
2026-01-13T12:07:00 | 105 | UserF | 53 | Film4 | 5
2026-01-13T12:08:00 | 102 | UserC | 53 | Film4 | 5
2026-01-13T12:09:00 | 100 | UserA | 54 | Film5 | 5
2026-01-13T12:10:00 | 106 | UserG | 54 | Film5 | 4
2026-01-13T12:11:00 | 103 | UserD | 50 | Film1 | 5
